agg__claimlosscause,claimlosscause,tpvehicledamage,tpvehicletowed,tpvehicledriveable,tpvehicletotalloss,tpvehiclerecovered,ivehicledamage,ivehicletowed,ivehicledriveable,ivehicletotalloss,ivehiclerecovered,trt__ivehicledamage,trt__ivehicledriveable,trt__ivehiclerecovered,trt__ivehicletotalloss,trt__ivehicletowed,trt__tpvehicledamage,trt__tpvehicledriveable,trt__tpvehiclerecovered,trt__tpvehicletotalloss,trt__tpvehicletowed,claimdecision,claimliability,claimlodgemethod,policyproducttype,policychannel,policypremiumbilling,new__claimdecision,new__claimliability,new__claimlodgemethod,new__policychannel,new__policypremiumbilling,new__policyproducttype,savings,claimid,claimstatus,claimcatastrophecode,claimcatastrophedesc,claimlosssuburb,claimlossstate,cls,claimincidentdescription,claimpolicenotified,claimpolicedate,claimpolicetime,claimfirenotified,claimreserve,claimexcesstotal,claimexcessapplicable,claimexcesswaived,policybrand,policystatus,policylob,policytype,policybillingrenewal,policyalterations,riskmotoragreedvalue,riskmotormarketvalue,risksuburb,riskstate,risksuminsured,riskmotorpurchaseprice,tpvehicleyear,tpvehicledriverage,ivehicleyear,ivehicledriverage,insured_parties,tp_parties,tp_parties_var,ActivityOwner,AdditionalInsured,Agent,AlternateContact,AnimalOwner,AppointmentContact,AssessmentLocation,Assessor,Broker,CaseManager,Claimant,ClaimantDependent,Complainant,Cyclist,DefenceBarrister,DefenceLawFirm,Defendant,Driver,Employee,Employer,Engineer,Executor,ExternalAssessor,Financier,FormerInsured,HireCarAgency,ImpactParty,IncidentParty,Informant,InjuredParty,Insured,InsuredRepresentative,Interestedparty,Investigator,LawEnforcementAgency,LegalCaseManager,ListedDriver,MainContact,MakeSafeProviderGeneralBuilder,Mortgagee,MotorRepairShop,NegotiationContact,Neighbour,Observer,Occupant,Other,OtherInsurer,Owner,OwningAgency,Passenger,Payee,Pedestrian,Plaintiff,PlaintiffLawFirm,PlaintiffsAttorney,Powerofattorney,PrimaryAssessor,RealEstateAgent,RecoveryAgent,RecoveryOnBehalfOf,RecoveryPayer,RepairShop,Repairer,Reporter,ResponsibleParty,ResponsiblePartyForIncident,SalvageService,ServiceProvider,SharpAgency,Supervisor,Supplier,Suspect,Swimmer,TPSettlementParty,Tenant,ThirdPartyInsurer,TowingAgency,TransportCarrier,UnitOwner,Vendor,Witness,claim_lag_losslodge,claim_lag_lossinception,claim_lag_lossalteration,fraud_class,prev_claims,POLICYINCEPTIONDATE,POLICYEXPIRYDATE,POLICYNBRCLAIMS,flag_claimpolicenotified,flag_claimfirenotified,flag_ivehicledriveable,flag_trt_ivehicledriveable,flag_trt_tpvehicledriveable,flag_prev_claims,flag_trt_ivehicletotalloss,flag_trt_tpvehicletotalloss,flag_newclaimlodgemethod_phone,new_claimlodgemethod_make,flag_aggclaimlosscause_driving,flag_aggclaimlosscause_parked,flag_aggclaimlosscause_theft,flag_aggclaimlosscause_hazard,flag_motorrepairshop,flag_salvageservice,flag_towingagency,alternate_fraud_class,flag_trt_tpvehicliedriveable,flag_trt_ivehicledamage,flag_trt_tpvehicledamage,flag_claimexcesswaived,flag_clsStat
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6398187,Closed,,,ACACIA HILLS,TAS,Hit an animal,I was driving along and a kangaroo jumped out in front of me_ I swerved to try and avoid hitting it_ but i Still hit it and also went into a tree on the side of the road.     IV POI: front end,No,NA,NA,No,5856.54,425,425,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,14200,0,ACACIA HILLS,TAS,14200,8000,0,0,2006,38.55,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,891,46,319,0,yes,1/23/2014,1/23/2015,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,,,,,,No,No,Yes,No,,No,Yes,No,No,No,No,No,No,No,No,Accept,At Fault,Phone,Third Party Propert,DIRECT,Annual,Accept,At Fault,Phone,DIRECT,Annual,Third Party Propert,0,6398254,Closed,,,Centennial Park,NSW,Third Party Hit in Rear by Insured,ACTUAL DATE OF LOSS: 04/03/2014 01.30pm  I was driving along and have impacted an taxi in the rear  IO POI: front damage  TP POI: rear bumper damaged,No,NA,NA,No,10820.28,600,600,No,GIO,Lapsed,Personal Insurance,Personal auto,"Automatic",1,0,0,KINGSFORD,NSW,0,0,0,0,2001,51.25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,349921,731,365,0,yes,7/11/2011,7/11/2014,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,0,0,0,1,0,0,0,0,0
Theft,Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6398299,Closed,,,LEONGATHA,VIC,Theft of vehicle,My car was parked in the drive way and when we got home last night_ the car was gone.    IV-POI: Unrecovered,Yes,3/10/2014,67200,No,19754.15,625,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,19800,0,LEONGATHA,VIC,19800,0,0,0,2003,33.55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1153,453,277,0,yes,12/12/2012,12/12/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Theft,Theft,,,,,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6398424,Closed,,,PACIFIC PINES,QLD,Theft of vehicle,MY HUSBAND WAS WORKING ON MY CAR LAST NIGHT AND THEN HAS GONE INSIDE FOR THE NIGHT AND THEN THIS MORNING THE CAR WAS GONE.  AFTER REPORTING IT TO THE POLICE IT HAS BEEN FOUND DOWN AN EMBANKMENT.,Yes,NA,NA,No,9460.2,695,695,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,10500,0,PACIFIC PINES,QLD,10500,17000,0,0,2005,29.61,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,921,1308,153,0,yes,8/10/2010,8/10/2014,0,1,0,1,1,0,1,1,0,1,NA,0,0,1,0,1,1,0,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,Yes,No,Yes,No,,No,No,Yes,No,,No,Yes,No,No,No,Yes,Yes,No,No,No,Reject,At Fault,Phone,Motor Comprehensive,DIRECT,Annual,Reject,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,4400,6398500,Closed,,,CARSELDINE,QLD,Third Party Hit in Rear by Insured,A whole bunch of cars stopped in slow moving traffic on a wet day & I have tapped the back of the the car in front.    POI - IV Front End  POI TP Rear end,No,NA,NA,No,0,600,600,No,Suncorp,In force,Personal Insurance,Personal auto,"Automatic",0,6300,0,BRIDGEMAN DOWNS,QLD,6300,0,0,0,1996,44.51,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21940,3,362,0,yes,2/21/2014,2/21/2015,0,0,0,1,1,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,0,1,0,0
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,Yes,No,Yes,,Yes,No,No,Yes,Yes,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6398560,Closed,,,KILSYTH,VIC,Roll Over,* FATALITY * single vehicle accident_ still under investigation with coroner_ possible driver may have had heart attack or unknown reason?,Yes,NA,NA,No,8527.89,650,650,No,GIO,In force,Personal Insurance,Personal auto,"Automatic",0,4000,0,CROYDON,VIC,4000,0,0,0,1996,78.44,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1093,181,184,0,yes,9/10/2013,9/10/2014,0,1,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,1,1,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,Yes,No,Yes,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Reject,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Reject,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6398645,Closed,,,MELBOURNE,VIC,Insured Failed Right of Way,I was driving when I have lost concentration. I have not noticed the traffic lights had changed_ and I have run a red light_ as a result I have impacted a vehicle coming from my left.    POI IV: PS rear door  POI TP: Front bumper,No,NA,NA,No,0,1225,1225,No,AAMI,Void,Personal Insurance,Personal auto,"Automatic",0,7500,0,UPPER FERNTREE GULLY,VIC,7500,5000,2013,32.53,2003,21.95,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,46,319,0,yes,1/24/2014,1/24/2015,0,0,0,1,1,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,1,1,0,0
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,No,No,Yes,,Yes,No,No,Yes,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6398716,Closed,,,YARRA JUNCTION,VIC,Roll Over,I driving behind traffic and my car tyres have slipped and I have lost control and my car has flipped and hit a tree,No,NA,NA,No,17798.08,2025,2025,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,16500,0,HALLAM,VIC,16500,0,0,0,2007,20.39,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,343,0,yes,2/17/2014,2/17/2015,0,0,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,1,0,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,Yes,No,Yes,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Reject,At Fault,Phone,Motor Comprehensive,INTERNET,Monthly,Reject,At Fault,Phone,INTERNET,Monthly,Motor Comprehensive,0,6398756,Closed,,,OAKLEIGH,VIC,Third Party Hit in Rear by Insured,I was following a car onto a main road from an entrance when i hit that car in the rear.  ivpoi - front bumper  tpvpoi - rear bumper,No,NA,NA,No,0,1225,0,No,AAMI,Void,Personal Insurance,Personal auto,"Automatic",0,15200,0,BAYSWATER,VIC,15200,0,1995,0,2007,22.91,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85680,70,295,0,yes,11/2/2013,11/2/2014,0,0,0,1,1,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,1,1,0,0
Theft,Theft,,,,,,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,,DIRECT,Monthly,Accept,Not at Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6398830,Closed,,,BALLARAT,VIC,Theft of vehicle,I parked my bike on the foot path near Victoria Park and when I returned the bike was gone.,Yes,NA,NA,No,19900,500,500,No,Shannons,In force,Personal Insurance,Personal auto,"Automatic",0,20400,0,SEBASTOPOL,VIC,20400,0,0,0,2005,54.58,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1345,3562,90,0,yes,6/8/2004,6/8/2014,0,1,0,0,0,0,1,1,0,1,NA,0,0,1,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,Yes,No,Yes,,Yes,No,No,Yes,Yes,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6398871,Closed,,,BOX HILL,VIC,Collision with Stationary Object,####  PLEASE NOTE:  THIS IS A FATALITY CLAIM!  ####  Io's daughter adv: He ran into the brick wall at the Box Hill Tafe. We dont know what happened to him.     ivd:  Unknown.,Yes,3/6/2014,36000,No,4091.85,625,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,4250,0,NUNAWADING,VIC,4250,20960,0,0,1997,88.59,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7442,4971,142,0,no,7/26/2000,7/26/2014,3,1,0,0,0,0,0,1,0,1,NA,1,0,0,0,0,1,1,1,0,1,0,0,1
Damage Whilst Driving,Damage Whilst Driven,No,No,Yes,No,,Yes,Yes,No,No,,Yes,No,No,No,Yes,No,Yes,No,No,No,Reject,At Fault,Phone,,INTERNET,Annual,Reject,At Fault,Phone,INTERNET,Annual,Motor Comprehensive,0,6398908,Closed,,,ROCKLEA,QLD,Third Party Hit in Rear by Insured,****loss date is 10/03/2014 at 11:20am****  I ran into the back of another car.    IOV POI = damage the front end bonnet is pushed in and damage to the radiatior  TPV POI = no damage_ it was a ute.,No,NA,NA,No,0,600,0,No,JCI,In force,Personal Insurance,Personal auto,"Automatic",0,19000,0,DUTTON PARK,QLD,19000,19000,0,0,2012,26.41,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527333,129,236,0,yes,11/1/2012,11/1/2013,0,0,0,0,0,1,1,0,0,1,NA,1,0,0,0,0,0,0,1,1,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,No,No,Yes,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,Yes,No,No,No,Reject,Not at Fault,Phone,,INTERNET,Monthly,Reject,Not at Fault,Phone,INTERNET,Monthly,Motor Comprehensive,34301,6398996,Closed,,,CANNINGTON,WA,Third Party Failed Right of Way,I was driving the left lane and there was a ute next to me in the middle lane and the ute has wanted to turn left and has merged into the side of my car and collided with me.  Impact points - ds front bumper_ ds headlight_ ds front guard_ ds mirror of IO's car impacted by ps back wheel of tp utility. IO's car pulling to the left now.,Yes,NA,NA,No,0,1250,0,No,JCI,In force,Personal Insurance,Personal auto,"Automatic",1,11500,0,BECKENHAM,WA,11500,0,0,0,1996,23.17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4499,0,365,1,yes,3/8/2014,3/8/2015,0,1,0,1,1,1,1,0,0,1,NA,1,0,0,0,0,0,0,0,1,1,0,0,0
Damage Whilst Parked,Damage Whilst Parked,,,,,,Yes,No,No,Yes,,Yes,No,No,Yes,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,Not at Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6399164,Closed,,,KINGSBURY,VIC,Malicious damage,I broke up with my girl friend Saturday night. She called me Sunday early evening to tell me that she vandalized my parents car. I was in bed the time of the incident.    Iv POI: DS side mirror_ punctured tires both rear and both front_ Boot_ tail light and head lamp_ wipers_ Front bonnet.,No,NA,NA,No,2219.45,625,0,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,3850,0,GLEN HUNTLY,VIC,3850,16450,0,0,1998,29.2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3662,4311,72,0,no,5/20/2002,5/20/2014,1,0,0,0,0,0,0,1,0,1,NA,0,1,0,0,0,1,1,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,Yes,No,No,No,,No,No,Yes,No,,No,Yes,No,No,No,Yes,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6399471,Closed,,,MILPERRA,NSW,Hit a parked car,***Actual DOL & TOL: 18/02/2014 ; 01:00 PM***    (New Policy is MPA020618695 _ which started last 03/03/2014 ; Old Policy was voided and locked last 29/01/2014 ; Incident DOL & TOL was 18/02/2014 - 01:00 PM ; IO is not insured w/ AAMI when the incident happened _ but insisting that he has this 21 days grace period)    I was reversing out from the car space_ when I accidentally hit a parked car.    IV POI: tray of the ute  TPV POI: boot /,No,NA,NA,No,2854.58,625,625,No,AAMI,Void,Personal Insurance,Personal auto,"Renewal",0,15600,0,BALMAIN,NSW,15600,0,2011,0,2009,27.13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,59447,365,0,0,yes,1/29/2013,1/29/2014,0,0,0,1,1,0,1,0,0,1,NA,1,0,0,0,0,0,0,1,0,0,1,0,0
Damage Whilst Driving,Damage Whilst Driven,Yes,No,Yes,Yes,,Yes,No,Yes,No,,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6399482,Closed,,,ROCKINGHAM,WA,Insured Failed Right of Way,I was driving along Council Avenue_ I was on the left hand side of the intersection and another vehicle was on the right hand side. I need to make a right turn and have aligned my vehicle to the the traffic turning right when this other vehicle who was driving straight through collided with DS of my car.     IV POI: Middle of the Front and Rear DS doors  TPV POI: Front PS Indicator Light_ Front bumper bar,No,NA,NA,No,5525.53,450,450,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,14490,0,COOLOONGUP,WA,14490,0,1992,0,2013,35.82,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6914,7,358,0,yes,2/27/2014,2/27/2015,0,0,0,1,1,1,1,0,1,1,NA,1,0,0,0,1,0,0,1,1,1,1,0,0
Damage Whilst Driving,Damage Whilst Driven,,,,,,Yes,No,No,Yes,,Yes,No,No,Yes,No,No,No,No,No,No,Accept,At Fault,Phone,Motor Comprehensive,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6399569,Closed,,,ALTONA,VIC,Roll Over,**DOL 5pm EST**  I was driving and it was raining_ i have gone to turn left into the corner and i have lost control and the vehicle has flipped and the car has damaged on the D/S the car was laying on the road. My brother has come to help me put IV on all Fours.,No,NA,NA,No,3683.05,625,625,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,4550,0,WILLIAMS LANDING,VIC,4550,7000,0,0,1995,31.68,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,121,244,0,yes,11/10/2013,11/10/2014,0,0,0,0,0,0,1,1,0,1,NA,1,0,0,0,0,1,0,1,0,1,0,0,0
Damage Whilst Parked,Damage Whilst Parked,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,Not at Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6399697,Closed,,,CHERRYBROOK,NSW,Accidental Damage whilst parked,My husbands car was car was parked and my other car car was reversing out and damaged my vehicle. I was the one driving the vehicle    poi tp - rear ps bumper bar   POI iv: ds rear door,No,NA,NA,No,1400.3,720,0,No,AAMI,In force,Personal Insurance,Personal auto,"Automatic",0,11750,0,CHERRYBROOK,NSW,11750,0,0,0,2005,41.56,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408319,1383,78,0,no,8/18/2009,8/18/2013,2,0,0,1,1,0,0,0,0,1,NA,0,1,0,0,0,0,0,1,0,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,No,No,Yes,No,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,Yes,No,No,No,Accept,At Fault,Phone,,DIRECT,Monthly,Accept,At Fault,Phone,DIRECT,Monthly,Motor Comprehensive,0,6399730,Closed,,,BURWOOD EAST,VIC,Hit a parked car,Real-time ****07.03.2014****  My mum was reversing out of her car spot and has hit the tray on a pick up truck. My mum was unable to find the driver and didn't leave details as there was no damage on other car     POI IV: REAR D/S BUMPER DENTED_ REAR HATCH DOOR DENTED_ FRAMING FOR D/S TAIL LIGHTS CHIPPED   POI TPV: NO DAMAGE,No,NA,NA,No,4341.3,100,100,No,Vero Corpo,In force,Personal Insurance,Personal auto,"Automatic",0,24145,0,BAYSWATER,VIC,24145,0,0,0,2013,55.78,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,7,358,0,yes,3/4/2014,3/4/2015,0,0,0,1,1,1,1,0,0,1,NA,1,0,0,0,1,0,0,1,1,1,0,0,0
Damage Whilst Driving,Damage Whilst Driven,Yes,No,No,Yes,,Yes,No,No,No,,Yes,No,No,No,No,Yes,No,No,Yes,No,Accept,At Fault,Phone,,DIRECT,Annual,Accept,At Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6399749,Closed,,,COOLAROO,VIC,Third Party Hit in Rear by Insured,I was turning left onto Barry rd behind a car that also turning left. As we were about the car edged forward but sudden;y stopped and I hit them in the rear     POI IV: RADIATOR CRACKED_ FRONT BUMPER AND BONNET DENTED_ GRILLE CRACKED_ RADIATOR FAN BROKEN   POI TPV: REAR BUMPER & BOOT PUSHED IN_ BOOT UNABLE TO CLOSE_ BOTH REAR DOORS HARD TO OPEN,No,NA,NA,No,3094.45,625,625,No,JCI,In force,Personal Insurance,Personal auto,"Automatic",0,0,0,CRAIGIEBURN,VIC,0,10000,1996,62.23,1995,52.65,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,659,71,0,yes,5/21/2012,5/21/2014,0,0,0,0,0,0,1,0,1,1,NA,1,0,0,0,0,1,0,1,0,1,1,0,0
Damage Whilst Parked,Damage Whilst Parked,,,,,,Yes,No,Yes,No,,Yes,Yes,No,No,No,No,No,No,No,No,Accept,Not at Fault,Phone,Motor Comprehensive,DIRECT,Annual,Accept,Not at Fault,Phone,DIRECT,Annual,Motor Comprehensive,0,6399762,Closed,,,HEMMANT,QLD,Malicious damage,My vehicle was parked in the car park at a office where I had left from to do a jet ski course. I parked the car at 8am & when i returned at 4pm_ I noticed that my car had been spray painted on every panel of my vehicle. My friends car was parked at the same time & this happened to his vehicle also. I took my car through  a car wash_ but the paint would not come of.,No,NA,NA,No,15.45,600,600,No,Suncorp,In force,Personal Insurance,Personal auto,"Automatic",0,6500,0,DREWVALE,QLD,6500,0,0,0,2000,32.52,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4838,180,185,0,yes,9/9/2013,9/9/2014,0,0,0,1,1,0,1,0,0,1,NA,0,1,0,0,0,0,0,1,0,1,0,0,0
